figure_id,figure_name,year,amount,unit,authority,authority_url,note
gift_annual_exclusion,Gift tax annual exclusion per donee (IRC 2503(b)),2015,14000,USD,"Rev. Proc. 2014-61, sec. 3.35, 2014-47 I.R.B. 860, 868",https://www.irs.gov/pub/irs-irbs/irb14-47.pdf,"Per donee, present interests only."
gift_annual_exclusion,Gift tax annual exclusion per donee (IRC 2503(b)),2016,14000,USD,"Rev. Proc. 2015-53, sec. 3.35, 2015-44 I.R.B. 615, 623",https://www.irs.gov/pub/irs-irbs/irb15-44.pdf,"Per donee, present interests only."
gift_annual_exclusion,Gift tax annual exclusion per donee (IRC 2503(b)),2017,14000,USD,"Rev. Proc. 2016-55, sec. 3.37, 2016-45 I.R.B. 707, 714",https://www.irs.gov/pub/irs-irbs/irb16-45.pdf,"Per donee, present interests only."
gift_annual_exclusion,Gift tax annual exclusion per donee (IRC 2503(b)),2018,15000,USD,"Rev. Proc. 2017-58, sec. 3.37, 2017-45 I.R.B. 489, 495",https://www.irs.gov/pub/irs-irbs/irb17-45.pdf,"Per donee, present interests only. Rev. Proc. 2017-58 amount; not among the items Rev. Proc. 2018-18 modified."
gift_annual_exclusion,Gift tax annual exclusion per donee (IRC 2503(b)),2019,15000,USD,"Rev. Proc. 2018-57, sec. 3.43, 2018-49 I.R.B. 827, 835",https://www.irs.gov/pub/irs-irbs/irb18-49.pdf,"Per donee, present interests only."
gift_annual_exclusion,Gift tax annual exclusion per donee (IRC 2503(b)),2020,15000,USD,"Rev. Proc. 2019-44, sec. 3.43, 2019-47 I.R.B. 1093, 1100",https://www.irs.gov/pub/irs-irbs/irb19-47.pdf,"Per donee, present interests only."
gift_annual_exclusion,Gift tax annual exclusion per donee (IRC 2503(b)),2021,15000,USD,"Rev. Proc. 2020-45, sec. 3.43, 2020-46 I.R.B. 1016, 1024",https://www.irs.gov/pub/irs-irbs/irb20-46.pdf,"Per donee, present interests only."
gift_annual_exclusion,Gift tax annual exclusion per donee (IRC 2503(b)),2022,16000,USD,"Rev. Proc. 2021-45, sec. 3.43, 2021-48 I.R.B. 764, 772",https://www.irs.gov/pub/irs-irbs/irb21-48.pdf,"Per donee, present interests only."
gift_annual_exclusion,Gift tax annual exclusion per donee (IRC 2503(b)),2023,17000,USD,"Rev. Proc. 2022-38, sec. 3.43, 2022-45 I.R.B. 445, 453",https://www.irs.gov/pub/irs-irbs/irb22-45.pdf,"Per donee, present interests only."
gift_annual_exclusion,Gift tax annual exclusion per donee (IRC 2503(b)),2024,18000,USD,"Rev. Proc. 2023-34, sec. 3.43, 2023-48 I.R.B. 1287, 1295",https://www.irs.gov/pub/irs-irbs/irb23-48.pdf,"Per donee, present interests only."
gift_annual_exclusion,Gift tax annual exclusion per donee (IRC 2503(b)),2025,19000,USD,"Rev. Proc. 2024-40, sec. 2.43, 2024-45 I.R.B. 1100, 1107",https://www.irs.gov/pub/irs-irbs/irb24-45.pdf,"Per donee, present interests only."
