year,month,rate_percent,revenue_ruling,irb_cite,table,authority_url,note
2015,1,2.2,Rev. Rul. 2015-1,2015-04 I.R.B. 331,"Table 5, Rate Under Section 7520 for January 2015",https://www.irs.gov/pub/irs-irbs/irb15-04.pdf,
2015,2,2.0,Rev. Rul. 2015-3,2015-06 I.R.B. 580,"Table 5, Rate Under Section 7520 for February 2015",https://www.irs.gov/pub/irs-irbs/irb15-06.pdf,
2015,3,1.8,Rev. Rul. 2015-4,2015-10 I.R.B. 743,"Table 5, Rate Under Section 7520 for March 2015",https://www.irs.gov/pub/irs-irbs/irb15-10.pdf,
2015,4,2.0,Rev. Rul. 2015-7,2015-14 I.R.B. 849,"Table 5, Rate Under Section 7520 for April 2015",https://www.irs.gov/pub/irs-irbs/irb15-14.pdf,
2015,5,1.8,Rev. Rul. 2015-8,2015-18 I.R.B. 945,"Table 5, Rate Under Section 7520 for May 2015",https://www.irs.gov/pub/irs-irbs/irb15-18.pdf,
2015,6,2.0,Rev. Rul. 2015-14,2015-22 I.R.B. 1012,"Table 5, Rate Under Section 7520 for June 2015",https://www.irs.gov/pub/irs-irbs/irb15-22.pdf,
2015,7,2.2,Rev. Rul. 2015-15,2015-27 I.R.B. 1,"Table 5, Rate Under Section 7520 for July 2015",https://www.irs.gov/pub/irs-irbs/irb15-27.pdf,
2015,8,2.2,Rev. Rul. 2015-16,2015-31 I.R.B. 130,"Table 5, Rate Under Section 7520 for August 2015",https://www.irs.gov/pub/irs-irbs/irb15-31.pdf,
2015,9,2.2,Rev. Rul. 2015-19,2015-36 I.R.B. 291,"Table 5, Rate Under Section 7520 for September 2015",https://www.irs.gov/pub/irs-irbs/irb15-36.pdf,
2015,10,2.0,Rev. Rul. 2015-21,2015-40 I.R.B. 447,"Table 5, Rate Under Section 7520 for October 2015",https://www.irs.gov/pub/irs-irbs/irb15-40.pdf,
2015,11,2.0,Rev. Rul. 2015-22,2015-44 I.R.B. 610,"Table 5, Rate Under Section 7520 for November 2015",https://www.irs.gov/pub/irs-irbs/irb15-44.pdf,
2015,12,2.0,Rev. Rul. 2015-25,2015-49 I.R.B. 695,"Table 5, Rate Under Section 7520 for December 2015",https://www.irs.gov/pub/irs-irbs/irb15-49.pdf,
2016,1,2.2,Rev. Rul. 2016-1,2016-02 I.R.B. 262,"Table 5, Rate Under Section 7520 for January 2016",https://www.irs.gov/pub/irs-irbs/irb16-02.pdf,
2016,2,2.2,Rev. Rul. 2016-4,2016-06 I.R.B. 299,"Table 5, Rate Under Section 7520 for February 2016",https://www.irs.gov/pub/irs-irbs/irb16-06.pdf,
2016,3,1.8,Rev. Rul. 2016-7,2016-10 I.R.B. 391,"Table 5, Rate Under Section 7520 for March 2016",https://www.irs.gov/pub/irs-irbs/irb16-10.pdf,
2016,4,1.8,Rev. Rul. 2016-9,2016-14 I.R.B. 530,"Table 5, Rate Under Section 7520 for April 2016",https://www.irs.gov/pub/irs-irbs/irb16-14.pdf,
2016,5,1.8,Rev. Rul. 2016-11,2016-19 I.R.B. 717,"Table 5, Rate Under Section 7520 for May 2016",https://www.irs.gov/pub/irs-irbs/irb16-19.pdf,
2016,6,1.8,Rev. Rul. 2016-13,2016-23 I.R.B. 1022,"Table 5, Rate Under Section 7520 for June 2016",https://www.irs.gov/pub/irs-irbs/irb16-23.pdf,
2016,7,1.8,Rev. Rul. 2016-17,2016-27 I.R.B. 1,"Table 5, Rate Under Section 7520 for July 2016",https://www.irs.gov/pub/irs-irbs/irb16-27.pdf,
2016,8,1.4,Rev. Rul. 2016-18,2016-31 I.R.B. 194,"Table 5, Rate Under Section 7520 for August 2016",https://www.irs.gov/pub/irs-irbs/irb16-31.pdf,
2016,9,1.4,Rev. Rul. 2016-20,2016-36 I.R.B. 279,"Table 5, Rate Under Section 7520 for September 2016",https://www.irs.gov/pub/irs-irbs/irb16-36.pdf,
2016,10,1.6,Rev. Rul. 2016-25,2016-41 I.R.B. 435,"Table 5, Rate Under Section 7520 for October 2016",https://www.irs.gov/pub/irs-irbs/irb16-41.pdf,
2016,11,1.6,Rev. Rul. 2016-26,2016-45 I.R.B. 538,"Table 5, Rate Under Section 7520 for November 2016",https://www.irs.gov/pub/irs-irbs/irb16-45.pdf,
2016,12,1.8,Rev. Rul. 2016-27,2016-49 I.R.B. 781,"Table 5, Rate Under Section 7520 for December 2016",https://www.irs.gov/pub/irs-irbs/irb16-49.pdf,
2017,1,2.4,Rev. Rul. 2017-2,2017-02 I.R.B. 364,"Table 5, Rate Under Section 7520 for January 2017",https://www.irs.gov/pub/irs-irbs/irb17-02.pdf,
2017,2,2.6,Rev. Rul. 2017-4,2017-06 I.R.B. 776,"Table 5, Rate Under Section 7520 for February 2017",https://www.irs.gov/pub/irs-irbs/irb17-06.pdf,
2017,3,2.4,Rev. Rul. 2017-7,2017-10 I.R.B. 1007,"Table 5, Rate Under Section 7520 for March 2017",https://www.irs.gov/pub/irs-irbs/irb17-10.pdf,
2017,4,2.6,Rev. Rul. 2017-8,2017-14 I.R.B. 1037,"Table 5, Rate Under Section 7520 for April 2017",https://www.irs.gov/pub/irs-irbs/irb17-14.pdf,
2017,5,2.4,Rev. Rul. 2017-11,2017-19 I.R.B. 1230,"Table 5, Rate Under Section 7520 for May 2017",https://www.irs.gov/pub/irs-irbs/irb17-19.pdf,
2017,6,2.4,Rev. Rul. 2017-12,2017-23 I.R.B. 1260,"Table 5, Rate Under Section 7520 for June 2017",https://www.irs.gov/pub/irs-irbs/irb17-23.pdf,
2017,7,2.2,Rev. Rul. 2017-14,2017-27 I.R.B. 2,"Table 5, Rate Under Section 7520 for July 2017",https://www.irs.gov/pub/irs-irbs/irb17-27.pdf,
2017,8,2.4,Rev. Rul. 2017-15,2017-32 I.R.B. 176,"Table 5, Rate Under Section 7520 for August 2017",https://www.irs.gov/pub/irs-irbs/irb17-32.pdf,
2017,9,2.4,Rev. Rul. 2017-17,2017-36 I.R.B. 222,"Table 5, Rate Under Section 7520 for September 2017",https://www.irs.gov/pub/irs-irbs/irb17-36.pdf,
2017,10,2.2,Rev. Rul. 2017-20,2017-41 I.R.B. 273,"Table 5, Rate Under Section 7520 for October 2017",https://www.irs.gov/pub/irs-irbs/irb17-41.pdf,
2017,11,2.4,Rev. Rul. 2017-21,2017-45 I.R.B. 482,"Table 5, Rate Under Section 7520 for November 2017",https://www.irs.gov/pub/irs-irbs/irb17-45.pdf,
2017,12,2.6,Rev. Rul. 2017-24,2017-49 I.R.B. 556,"Table 5, Rate Under Section 7520 for December 2017",https://www.irs.gov/pub/irs-irbs/irb17-49.pdf,
2018,1,2.6,Rev. Rul. 2018-1,2018-02 I.R.B. 275,"Table 5, Rate Under Section 7520 for January 2018",https://www.irs.gov/pub/irs-irbs/irb18-02.pdf,
2018,2,2.8,Rev. Rul. 2018-5,2018-06 I.R.B. 339,"Table 5, Rate Under Section 7520 for February 2018",https://www.irs.gov/pub/irs-irbs/irb18-06.pdf,
